classification_code;id;situationtext
1;2794;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  the rules
3;2849;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The numbers where so close it isn't fair to that participants time to not get a bonus
1;2532;Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The instructions said that the person with fewer correct answers would get nothing and the person with the most correct answers would get .15 per correct answer. Changing the bonus would not be right or moral.
3;568;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Although Participant Y solved 16 problems and Participant X solved 12 problems, I feel both should be compensated. Participant X should get something for solving the problems although they did not complete as many.
2;209;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  since they both took their time to solve the tasks they both deserve to receive a bonus, i allocated 2 dollars to participant Y because he solved more and the rest $1.15 goes tp participant X
9;3374;Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It appears to me that X did better in their grouping than Y did in their's. Thus, a sharing of the wealth is appropriate.
1;2120;Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I had no reason to take what they earned.
2;1363;Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to allocate some of the earnings of participant Y to participant X since he solved fewer problems, and it would be fair to redistribute some in this instance.
3;1481;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Xdid answer 11 questions. Even though Yanswered 4 more wuestions-I feel X should be given something for trying to answer as many as she could.
3;1497;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I feel like participant X lost by 6 to participant Y. Because of their results being close, I feel like participant X should b rewarded something for solving some right.
