id,situationtext
1,Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  
3,Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I think the efforts of 12 vs 17 deserve some compensation
4,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  It seems more fair to me that the participant with less correct answers should be paid for the problems that they solved correctly. which I estimated to be somewhat less than a third.
5,Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It seems fairly distributed as much reward for Y and for X just acknowledging the efforts.
6,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Taking a small portion of Participant Y's earning would still be fair in that situation.
7,Y slightly outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  Brief and direct to the point
8,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I applied both fairness in rewarding Y based on the excellent performance (merit) as well as appreciation of the effort exerted by X (fairness), and at the same time trying my best to make the incentives significant. A 20 percent redistribution blunts the all-or-nothing pay off without compromising the advantage of Y."
9,"Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  the rules did not allow participant x to earn,there fore i could not share"
10,"Y barely outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I feel it is somewhat unfair that participant x receives nothing, while only having solved one less question than participant y."
11,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  To encourage participant's X actions.
12,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I decided to give $0.50 to participant X because even though they didnt do as well as Y, they still put in effort and solved some problems. At the same time, I wanted to make sure Y kept most of what they earned since they performed much better. This felt like a fair way to recognize both effort and achievement."
13,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Small performance gap, significant outcome difference."
14,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  the reward effort is slightly while fairness and merit based performance
15,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I think the other participation will pull up and do more as I will
16,Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Participant X was selfless and participant Y benefitted from the other participant's selflessness.
17,Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Since when one takes part in any participation need to be rewarded or appreciated
18,"Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to give $0.90 to Participant X and $2.40 to Participant Y to balance fairness and merit. While Participant Y clearly outperformed X and deserves the larger share, Participant X still performed better than most participants, and receiving nothing despite that effort feels overly harsh. This partial redistribution acknowledges Xs solid performance without undermining the incentive structure of rewarding higher achievement. It reflects a more balanced approach that values both relative success and individual effort."
19,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  the rules were clear and the participants had agreed to it
